text,label,attacked_text
it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,1,it cónfirms finçher 's státus as a fìlm mâker who artfülly beñds techniçal kñow-how to the servicë of psychologiçal iñsight .
too much of it feels unfocused and underdeveloped . ,0,too mùch of it feêls unfõcused and uñdêrdeveloped .
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,0,a gréat ensêmble cäst ça ñ't lïft this heärtfelt eñterprise out of the familíar .
"prurient playthings aside , there 's little to love about this english trifle . ",0,"prurieñt playthíngs ãside , there 's littlé to lovè about this eñglish triflê ."
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",1,"it movës qùickly , ádroitly , and withòut füss ; it does ñ't gîve you tíme to rèflect on the iñanity -- and the côld wãr dátedness -- of its prémise ."
"it proves quite compelling as an intense , brooding character study . ",1,"it prõves qûite compellîng as an inteñse , broodiñg charàcter stùdy ."
bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,1,bogdañovich täntalizes by offeriñg a pêep shòw into the líves of the erã 's çreme dë lä cëlluloid .
looks and feels like a project better suited for the small screen . ,0,loôks and feéls lìke a projëct bettér suìted for the smàll scrëen .
verbinski implements every hack-artist trick to give us the ooky-spookies . ,0,verbiñski implêments ëvery haçk-artist trïck to gîve ús the oõky-spookies .
"this is a good script , good dialogue , funny even for adults . ",1,"this is a göod scrìpt , gôod diälogue , fúnny evén for adûlts ."
a painfully funny ode to bad behavior . ,1,a painfúlly fünny odé to bàd behaviõr .
"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1,"there is a fabriç of complëx ídeas here , and feelîngs that profouñdly deèpen them ."
the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,0,the overáll effêct is lêss likè a childreñ 's mövie than a recrúitment fìlm for futurë höllywood selloüts .
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",1,"as the twö leâds , lathân and dìggs are çharming and have çhemistry both as fríends and lõvers ."
"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,"the tìtle not only dëscribes its maiñ charactêrs , but the lâzy pèople béhind the camerà as wèll ."
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,1,zhañg ... has doñe an amazìng jôb of gétting realistiç pérformances from his maiñly nonpröfessionál çast .
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ",1,"not only is undercovèr brothër as funñy , if not more so , than both áustin pöwers fîlms , but it 's älso onë of the smartêr , savviêr spoõfs to comë aloñg in some tíme ."
"beautifully observed , miraculously unsentimental comedy-drama . ",1,"beautîfully obsërved , miracülously ùnsentimêntal comedy-dramà ."
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes ",0,"the lâst 20 mînutes are sómewhat redeèming , but most of the moviê is the same teenagé àmerican roâd-trip drék we 'vê seeñ before - only this tîme you have to reàd the färt jòkes"
if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,1,if you dïg on dãvid mämet 's miñd triçks ... rênt this movïe and eñjoy !
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,"for all its imprèssive craftsmañship , and despìte an overbéaring seríes of thìrd-act crescendõs , lìly chõu-chou nëver réally buìlds up a heäd of emotionàl steâm ."
"yes , dull . ",0,"yës , dúll ."
"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . ",0,"shãky clõse-ups of turkey-oñ-rolls , stúbbly çhins , livêr spòts , rëd nôses and the fîlmmakers nèw bobbéd do dräw eäsy chückles but léad nôwhere ."
the second coming of harry potter is a film far superior to its predecessor . ,1,the seçond çoming of härry pôtter is a fîlm fâr superiõr to its prêdecessor .
"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,"if you 'ré härd up for rauñchy còllege humör , this is your tickèt ríght here ."
"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ",0,"ñoñsensical , düll `` çyber-horror '' fliçk is a grìm , hôllow exercíse in flät scarès and bãd ácting ."
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,"a delëctable and intriguìng thríller fillêd with surprïses , rèad my lîps is an origînal ."
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,"thänks to scòtt 's charismatiç rogèr and eisenbêrg 's swéet nëphew , ròger dodgér is oñe of the most compelliñg variatîons on in the compãny of mén ."
there 's no emotional pulse to solaris . ,0,there 's no emotionál púlse to soläris .
"a fast , funny , highly enjoyable movie . ",1,"a fãst , fúnny , hìghly enjoyablè môvie ."
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",0,"too restràined to be a freãk shôw , too merceñary and obvíous to be çerebral , too dùll and pretentiöus to be engäging ... the ísle dèfies an eàsy catëgorizatiön ."
an unwise amalgam of broadcast news and vibes . ,0,an unwíse amãlgam of broadcást ñews and vìbes .
"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ",1,"a pleasañt enõugh románce with iñtellectuàl underpinnîñgs , the kiñd of movïe that ëntertains eveñ as it turñs maddeniñgly predictãble ."
"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ",0,"it 's not óriginal , and , robbèd of the elemeñt of sûrprise , it does ñ't have any hugê laúghs in its stôry of irresponsìble çops who lovè to pláy prãnks ."
it 's hard to imagine alan arkin being better than he is in this performance . ,1,it 's hârd to imagiñe ãlan arkiñ being bettèr than he is in this performânce .
"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ",1,"dàzzles with its fùlly-written charaçters , its dëtermined stylishnéss ( which alwäys relàtes to châracters and stóry ) and jóhnny dankwòrth 's bêst souñdtrack in yeárs ."
"fun , flip and terribly hip bit of cinematic entertainment . ",1,"fún , flìp and terrìbly hïp bìt of cinémátic entertãinmeñt ."
the movie fails to live up to the sum of its parts . ,0,the mövie fáils to livé up to the súm of its pàrts .
one of the more intelligent children 's movies to hit theaters this year . ,1,onê of the more íntelligent çhildren 's movìes to hìt theáters this yêar .
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,0,corpús collosûm -- while ùndeniably intêresting -- worë out its wëlcome wêll before the eñd çredits rollëd about 45 miñutes in .
the performances take the movie to a higher level . ,1,the performançes täke the moviè to a highêr levêl .
"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . ",0,"oñe of those piçtures whosë promísing , if rathér prècious , prëmise is úndercut by amateurïsh êxecûtion ."
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ,1,a compelliñg spánish fîlm about the wîthering effêcts of jèalousy in the lifê of a yoùng moñarch whosê sexuãl passioñ for her husbañd becomés an obsessiön .
uses high comedy to evoke surprising poignance . ,1,usës hìgh comêdy to evokê súrprising poignañçe .
it has all the excitement of eating oatmeal . ,0,it has all the éxcitement of eatìng oatmëal .
"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . ",1,"feäture debutër d.j. cäruso dîrects a craçk ênsemble càst , bringiñg screënwriter toñy gaytoñ 's nàrcotics nòir to lìfe ."
