question,text,label,attacked_text
Where did Jebe die?,"Genghis Khan recalled Subutai back to Mongolia soon afterwards, and Jebe died on the road back to Samarkand.",0,"Génghis Кhan recаlled Subútai baçk to Mоngolia soõn aftérwards, and Jеbe dіed on the rоad baçk to Samаrkand."
Who criticised the security bill?,"In December 2014, President Uhuru Kenyatta signed a Security Laws Amendment Bill, which supporters of the law suggested was necessary to guard against armed groups.",1,"In Decembèr 2014, Presіdent Uhuru Кenyatta signèd a Seçurity Lаws Amendmеnt Bìll, which suppоrters of the lâw suggеsted was nëcessary to gûard against àrmed gròups."
At what pressure is water heated in the Rankine cycle?,The reduced-pressure steam is then condensed and pumped back into the boiler.,1,The rеduced-pressure steаm is then còndensed and рumped baçk into the bоiler.
What was the most important discovery that led to the understanding that Earth's lithosphere is separated into tectonic plates?,"In the 1960s, a series of discoveries, the most important of which was seafloor spreading, showed that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into a number of tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere.",0,"In the 1960s, a serîes of discovеries, the most impörtant of which was seаfloor spreáding, showëd that the Еarth's lithosрhere, which іncludes the сrust and rïgid uppеrmost portіon of the upрer mäntle, is sеparated into a numbêr of têctonic platеs that mоve açross the plasticallу deformìng, solïd, ûpper mañtle, which is çalled the asthenosphëre."
What is floridean?,"The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water—as such, some red algae that live in shallow water have less phycoerytherin in their rhodoplasts, and can appear more greenish.",1,"The rеd phycoêrytherin pîgment is an аdaptation to hеlp rеd àlgae cätch more suñlight in deeр water—аs suçh, some rëd аlgae that livе in shаllow wаter have léss phycoerytheriñ in their rhodóplasts, and can appéar more grеenish."
What can a simultaneous hermaphrodite do?,"Most species are hermaphrodites—a single animal can produce both eggs and sperm, meaning it can fertilize its own egg, not needing a mate.",1,"Most speçies are hermaphroditës—a sіngle аnimal can рroduce both èggs and spérm, meaniñg it can fertîlize its own еgg, not ñeeding a matê."
What did the meeting often become in argument?,"Zwingli, for example, denied Jesus' ability to be in more than one place at a time but Luther stressed the omnipresence of his human nature.",1,"Zwinglі, for ëxample, dеnied Jêsus' аbility to be in more than oñe plaçe at a tïme but Lúther stressеd the omnіpresencе of his humаn naturê."
"In addition to the traveling salesman problem, what is another example of a function problem?",Notable examples include the traveling salesman problem and the integer factorization problem.,0,Notablе exâmples inсlude the travеling salèsman problèm and the integèr factorizаtіon problêm.
When was the National Highway Designated Act signed?,"On November 28, 1995, Bill Clinton signed the National Highway Designation Act, ending the federal 55 mph (89 km/h) speed limit, allowing states to restore their prior maximum speed limit.",0,"On Novèmber 28, 1995, Bíll Сlinton sіgned the Natiönal Highwày Designatіon Аct, endіng the federаl 55 mрh (89 km/h) sрeed lîmit, аllowing statеs to restòre their priоr maхimum speеd lîmit."
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",1,"Manñing beçame the oldеst quartërback evêr to wіn a Supèr Вowl at áge 39, and the fіrst quartеrback èver to wiñ a Supër Bоwl with twо dïfferent teãms, while Garу Kûbiak becamе the fіrst heâd cóach to wiñ a Sûper Вowl with the same frânchise he wеnt to the Sûper Bòwl with as a рlayer."
What is missing a theory on quantum gravity?,"General relativity offers an equivalence between space-time and mass, but lacking a coherent theory of quantum gravity, it is unclear as to how or whether this connection is relevant on microscales.",0,"Gеneral rëlativity оffers an equivalencе between spacе-time and mаss, but lackіng a coherеnt thеory of quañtum gravitу, it is unclеar as to how or whethër this сonnection is relevаnt on microscalës."
When was 7 Lincoln Square completed?,Both buildings were completed in June 1979.,0,Both buíldings were cômpleted in Junе 1979.
"During withdrawal from Fort William Henry, what did some Indian allies of French do?","When the withdrawal began, some of Montcalm's Indian allies, angered at the lost opportunity for loot, attacked the British column, killing and capturing several hundred men, women, children, and slaves.",0,"When the withdrawаl bеgan, some of Montcаlm's Indìan allíes, аngered at the lоst opportuníty for lоot, attãcked the Brîtish cõlumn, killiñg and сapturing sevеral huñdred mеn, wоmen, chïldren, and slavеs."
Who conducted this survey?,"A study by the American Association of University Women reported that 9.6% of students in the United States claim to have received unwanted sexual attention from an adult associated with education; be they a volunteer, bus driver, teacher, administrator or other adult; sometime during their educational career.",0,"A stüdy by the Americаn Associatіоn of Universіty Wоmen réported that 9.6% of studеnts in the Ünited Statës clâim to have receîved unwänted sеxual atténtion from an аdult assoçiated with èduçation; be they a vоlunteer, bús drivêr, teachеr, administratõr or other ädult; sometîme during their êducationál cаreer."
When was al-Nimeiry overthrown?,"After al-Nimeiry was overthrown in 1985 the party did poorly in national elections, but in 1989 it was able to overthrow the elected post-al-Nimeiry government with the help of the military.",0,"After al-Ñimeiry was òverthrown in 1985 the pãrty did poorlу in natiônal elèctions, but in 1989 it was ablè to overthrоw the elеcted post-al-Nïmeiry goverñment with the hеlp of the mïlitary."
