id,text,source,attack_type
0,"This paper explores the transmission probabilities in quantum key distribution (QKD) systems over free-space optical (FSO) links. The study investigates the impact of various factors such as atmospheric turbulence, detector efficiency, and channel losses on the transmission probabilities of the QKD system. The authors use a theoretical analysis and numerical simulations to determine the optimal conditions for achieving high transmission probabilities in the presence of these factors. The results of the study can be used to improve the design and performance of QKD systems over FSO links, which have potential applications in secure communication and cryptography.",ai,flan_t5_evader
1,"This study presents a novel approach to the vehicle routing problem by focusing on greenhouse gas emissions and fuel consumption aiming to mitigate adverse environmental effects of transportation. A time-dependent model with time windows is developed to incorporate speed and schedule in transportation. The model considers speed limits for different times of the day in a realistic delivery context. Due to the complexity of solving the model, a simulated annealing algorithm is proposed to find solutions with high quality in a timely manner. Our method can be used in practice to lower fuel consumption and greenhouse gas emissions while total route cost is also controlled to some extent. The capability of method is depicted by numerical examples productively solved within 3.5% to the exact optimal for small and mid-sized problems.",human,flan_t5_evader
2,"This paper explores the necessary conditions for implementing a regulator that takes into account both momentum and frequency in nonperturbative renormalization group flow equations of out-of-equilibrium statistical systems. The researchers use model A as a benchmark and calculate its dynamical critical exponent, z. They then demonstrate that it is possible to create frequency regulators that conform to causality and the fluctuation-dissipation theorem. The authors also show that the Principle of Minimal Sensitivity (PMS) is an effective method for optimizing critical exponents, but to make the PMS a self-consistent criterion, frequency regulators are needed.",ai,flan_t5_evader
3,"In this paper, we investigate the tau-functions of the KP hierarchy, and their relationship to abelian group actions on finite dimensional Grassmannians. Specifically, we examine these Grassmannians as subquotients of the Hilbert space Grassmannians of Sato, Segal, and Wilson. Through this analysis, we are able to demonstrate a determinantal formula originally developed by Gekhtman and Kasman that involves exponentials of finite dimensional matrices. We further explore the reduced flows of exponential type generated by matrices with arbitrary nondegenerate Jordan forms, both within the Grassmannian setting and within the fermionic",ai,flan_t5_evader
4,"This survey presents the main results achieved for the influence maximization problem in social networks. This problem is well studied in the literature and, thanks to its recent applications, some of which currently deployed on the field, it is receiving more and more attention in the scientific community. The problem can be formulated as follows: given a graph, with each node having a certain probability of influencing its neighbors, select a subset of vertices so that the number of nodes in the network that are influenced is maximized. Starting from this model, we introduce the main theoretical developments and computational results that have been achieved, taking into account different diffusion models describing how the information spreads throughout the network, various ways in which the sources of information could be placed, and how to",human,flan_t5_evader
5,"This paper presents an investigation into the role of center vortices as sources of abelian dominance in pure SU(2) Yang-Mills theory. Abelian dominance refers to the phenomenon where the confining properties of non-Abelian gauge theories are dominated by the behavior of an Abelian subgroup. We study the lattice configurations of center vortices and their effects on the confinement properties of pure SU(2) Yang-Mills theory. Our analysis reveals that center vortices can be viewed as sources of abelian dominance, with their collective behavior approximating that of a compact U(1) gauge theory. We show that center vortices contribute to the generation of",ai,flan_t5_evader
6,"This paper examines the intersection of complexity theory, game theory, and economics, as presented in the Barbados Lectures. The paper provides an overview of the key concepts and theories in each of these fields, and argues that the interdisciplinary approach of the Barbados Lectures offers new and insightful perspectives on the workings of complex economic systems. By incorporating elements of complexity theory, such as non-linear dynamics and self-organizing systems, the paper demonstrates how the traditional models of economic behavior can be enriched and extended. Additionally, the application of game theory provides a deeper understanding of the strategic interactions between economic agents, and the role of information, incentives, and coordination in shaping economic outcomes.",ai,flan_t5_evader
7,"In this paper, with recent advances in wireless network virtualization and software-defined networking (SDN), we propose a novel framework for M2M communications in software-defined cellular networks with wireless network virtualization. In the proposed framework, according to different functions and quality of service (QoS) requirements of machine-type communication devices (MTCDs), a hypervisor enables the virtualization of the physical M2M network, which is abstracted and sliced into multiple virtual M2M networks. In addition, we develop a decision-theoretic approach to optimize the random access process of M2M communications. In addition, we develop a feedback and control loop to dynamically adjust the number of resource blocks (RBs) that are used in",human,flan_t5_evader
8,"For medical image segmentation, imagine if a model was only trained using MR images in source domain, how about its performance to directly segment CT images in target domain? This setting, namely generalizable cross-modality segmentation, owning its clinical potential, is much more challenging than other related settings, e.g., domain adaptation. To achieve this goal, we in this paper propose a novel dual-normalization module by leveraging the augmented source-similar and source-dissimilar images during our generalizable segmentation. To be specific, given a single source domain, aiming to simulate the possible appearance change in unseen target domains, we first utilize a nonlinear transformation to augment source-similar and",human,flan_t5_evader
9,"Our solutions describe two parallel, separated bundles of N D1-branes expanding out to form a single orthogonal D3-brane. This configuration corresponds to two charge N magnetic monopoles in the world-volume of a single D3-brane, deforming the D3-brane into two parallel spikes. We obtain the emergent surface corresponding to our nonabelian D1-brane configuration and demonstrate, at finite N, a surprisingly accurate agreement with the shape of the D3-brane world-volume as obtained from the abelian Born-Infeld action. Our solution provides an explicit realization of topology change in noncommutative geometry at finite N.",human,flan_t5_evader
10,"This paper proposes a novel algorithm for solving the problem of minimizing finite sums with infinite data using a lightweight stochastic optimization approach. The proposed algorithm combines stochastic gradient descent with an adaptive step size selection method to effectively handle the infinite data problem. The algorithm is designed to be computationally efficient by only requiring a subset of the data to be processed at each iteration, while still achieving a high level of accuracy. Theoretical analysis is provided to prove the convergence and optimal convergence rate of the algorithm, and numerical experiments are conducted to demonstrate its effectiveness on a variety of large-scale datasets.",ai,flan_t5_evader
11,"Deception is a technique to mislead human or computer systems by manipulating beliefs and information. For the applications of cyber deception, non-cooperative games become a natural choice of models to capture the adversarial interactions between the players and quantitatively characterizes the conflicting incentives and strategic responses. In this chapter, we provide an overview of deception games in three different environments and extend the baseline signaling game models to include evidence through side-channel knowledge acquisition to capture the information asymmetry, dynamics, and strategic behaviors of deception. We analyze the deception in binary information space based on a signaling game framework with a detector that gives off probabilistic evidence of the deception when the sender acts deceptively. We then focus on",human,flan_t5_evader
12,"There is abundant evidence that the mass of the Universe is dominated by dark matter of unknown form. The MACHO project is one of several teams searching for the dark matter around our Galaxy in the form of Massive Compact Halo Objects (MACHOs). If a compact object passes very close to the line of sight to a background star, the gravitational deflection of light causes an apparent brightening of the star, i.e. a gravitational  microlensing' event. These events will be very rare, so millions of stars must be monitored for many years. We describe our search for microlensing using a very large CCD camera on the dedicated 1.27m telescope at Mt.",human,flan_t5_evader
