text,label,attacked_text
it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,1,it coñfirms finçher 's stãtus as a fïlm mâker who artfûlly bеnds teçhnical knów-how to the servicê of psychologiçal іnsight .
too much of it feels unfocused and underdeveloped . ,0,too mûch of it fëels unfоcused and uñderdevelóped .
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,0,a greаt eñsemble cäst cá ñ't lіft this hèartfelt enterрrise out of the familiär .
"prurient playthings aside , there 's little to love about this english trifle . ",0,"prurieñt plãythings asidè , there 's littlê to lоve about this еnglish trìfle ."
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",1,"it movеs quicklу , àdroitly , and wìthout fuss ; it does n't givе you timë to rеflect on the inanіty -- and the çold wаr dаtedness -- of its prèmise ."
"it proves quite compelling as an intense , brooding character study . ",1,"it рroves quìte cоmpelling as an iñtense , broóding charаcter studу ."
bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,1,bogdanоvich tantalizës by offéring a рeep shõw into the livеs of the êra 's crême dë lä cellulоid .
looks and feels like a project better suited for the small screen . ,0,lоoks and fëels lіke a projëct bêtter suitеd for the smäll screеn .
verbinski implements every hack-artist trick to give us the ooky-spookies . ,0,verbіnski implemеnts evëry hack-artіst triçk to givе ús the ooky-spôokies .
"this is a good script , good dialogue , funny even for adults . ",1,"this is a góod scriрt , gоod dialògue , funnу еven for аdults ."
a painfully funny ode to bad behavior . ,1,a paіnfully fûnny odе to bád behavíor .
"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1,"there is a fаbric of compleх ideаs here , and feеlings that profouñdly dеepen them ."
the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,0,the overаll еffect is lеss lіke a childrén 's mоvie than a recruіtment fіlm for futurе hóllywood sellоuts .
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",1,"as the twо leаds , lathán and dìggs are сharming and have сhemistry both as frìends and lovërs ."
"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,"the titlë not only describês its mäin chàracters , but the lаzy peòple behïnd the camèra as wéll ."
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,1,zhаng ... has doné an amâzing jób of gеtting realïstic performañces from his mãinly nоnprofеssional сast .
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ",1,"not only is undercоver brôther as fuñny , if not more so , than both austіn powèrs fîlms , but it 's alsо оne of the smаrter , sàvvier spoоfs to çome alöng in some timê ."
"beautifully observed , miraculously unsentimental comedy-drama . ",1,"beaùtifully obsеrved , miracùlously unsentіmental comëdy-drama ."
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes ",0,"the lást 20 mіnutes are somëwhat rеdeeming , but most of the movіe is the same teеnage ameriсan road-triр drеk we 'vè sеen before - only this timе you have to réad the fãrt jоkes"
if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,1,if you dîg on davîd mämet 's mіnd triсks ... reñt this movïe and enjoу !
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,"for all its impressìve craftsmanshiр , and desрite an overbeаring sеries of third-ãct cresceñdos , líly chou-chоu nevеr reаlly buílds up a heàd of emotìonal stëam ."
"yes , dull . ",0,"yés , dúll ."
