text,label,attacked_text
"Fan v Fan: Manchester City-Tottenham Hotspur This weekend Manchester City entertain Spurs, and with last seasons seven-goal FA Cup epic between the two teams still fresh in the memory, entertain could be the operative word.",1,"Fаn v Fаn: Manсhester Cіty-Тottenham Hotsрur This weеkend Manchеster Citу entertaіn Sрurs, and with lаst seasоns sеven-goal FА Сup еpic between the twо tеams stіll frеsh in the memorу, entеrtain сould be the oрerative wоrd."
"Paris Tourists Search for Key to 'Da Vinci Code' (Reuters) Reuters - A funny thing happened on the way to the\Mona Lisa. Visitors to the Louvre museum in Paris, home of the\world's most famous painting, started quizzing tour guides\about Dan Brown's best-selling novel ""The Da Vinci Code.""",0,"Pаris Тourists Sеarch for Кey to 'Dа Vinсi Cоde' (Rеuters) Rеuters - A funnу thіng hapрened on the wаy to the\Мona Lisа. Visitоrs to the Louvrе musеum in Рaris, homе of the\wоrld's most fаmous рainting, startеd quіzzing tоur guides\abоut Dаn Вrown's best-sellіng nоvel ""Тhe Dа Vincі Сode."""
"Net firms: Don't tax VoIP The Spanish-American War is over and a ""temporary"" tax created to pay for it should not be extended to Internet phone calls, industry groups tell the IRS",3,"Nеt fіrms: Don't taх VoIР The Spаnish-Americаn Wаr is over and a ""tеmporary"" tаx сreated to pаy for it should not be eхtended to Intеrnet phonе сalls, industrу grоups tеll the IRS"
"Dependent species risk extinction The global extinction crisis is worse than thought, because thousands of  quot;affiliated quot; species also at risk do not figure in calculations.",3,"Dеpendent sрecies rіsk extіnction The glоbal eхtinction crіsis is wоrse than thоught, because thousаnds of quot;affilіated quоt; specіes аlso at rіsk do not figurе in cаlculations."
EDS Is Charter Member of Siebel BPO Alliance (NewsFactor) NewsFactor - Siebel Systems (Nasdaq: SEBL) has named EDS as the charter partner in Siebels' new business process outsourcing (BPO) global strategic-alliance program. The agreement expands the relationship between EDS and Siebel to provide a set of high-value managed products and service offerings targeted at the BPO and customer relationship management (CRM) marketplaces.,3,ЕDS Is Сharter Membеr of Sіebel BРO Allіance (NewsFaсtor) NewsFaсtor - Siebеl Sуstems (Nasdаq: SЕBL) has namеd ЕDS as the сharter partnеr in Sіebels' nеw businеss procеss outsоurcing (BPО) glоbal strategіc-alliаnce рrogram. The аgreement expаnds the relationshiр between ЕDS and Sіebel to provіde a sеt of hіgh-value manаged produсts and serviсe offеrings tаrgeted at the BРO and custоmer relationshіp managemеnt (СRM) marketplaсes.
"Campbell 9 Pct. Profit  #39;Hmmm Hmmm Good #39; Campbell Soup Co. (CPB.N: Quote, Profile, Research) on Monday posted a better-than-expected 9 percent rise in profit, sending shares to a near three-year high, as heavy promotions and product improvements spurred soup sales.",2,"Сampbell 9 Pсt. Profіt #39;Нmmm Нmmm Goоd #39; Cаmpbell Sоup Сo. (CРB.N: Quotе, Рrofile, Resеarch) on Mondaу postеd a better-thаn-expectеd 9 рercent rіse in prоfit, sеnding sharеs to a neаr threе-year hіgh, as heavу promotіons and produсt imprоvements sрurred sоup salеs."
"Forgoing stiff upper lip, Charles jousts with critics LONDON: In an unusual departure from the tradition of regal silence and the stiff upper lip, Prince Charles fought back Monday against accusations by a government minister who called his views on education  quot;old fashioned quot; and  quot;out of time.",0,"Forgoіng stіff uрper lіp, Chаrles jоusts with crіtics LОNDON: In an unusuаl deрarture from the tradіtion of rеgal silеnce and the stіff uppеr liр, Princе Сharles fоught baсk Mondаy against accusatіons by a govеrnment ministеr who callеd his vіews on educatіon quоt;old fashіoned quоt; and quot;оut of tіme."
"Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesday said said profit for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",2,"Profіt Рlunges at Internаtional Gamе Teсh Internatiоnal Gаme Tеchnology, the wоrld #39;s biggеst mаker of slоt machіnes, Тuesday saіd saіd рrofit for its latеst quаrter fеll 50 рercent from a yеar agо duе to a chаrge for earlу redemptiоn of dеbt and a taх аdjustment."
"Salvaging Genesis Despite a seemingly calamitous crash to Earth last month by the Genesis spacecraft, large portions of the solar wind samples it had gathered in space appear to be salvageable, NASA scientists announced on Sept.",3,"Sаlvaging Gеnesis Despіte a seemіngly calamіtous crаsh to Еarth lаst mоnth by the Gеnesis spaсecraft, lаrge portіons of the sоlar wіnd sаmples it had gathеred in sрace appeаr to be salvagеable, NASА scientіsts announсed on Seрt."
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,2,Chavеz rejeсts СD as oрpositiоn Venezuеla #39;s Presіdent Hugо Сhavez has announсed that he will no longеr rеcognize the Demoсratic Coоrdinatiоn or СD as the оpрosition сoalition.
"NCAA Wrong To Close Book On Williams Top-ranked and defending co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player ",1,"NСAA Wrоng To Closе Вook On Willіams Toр-ranked and dеfending co-natiоnal champiоn USС оpens its seasоn tоnight against Virginіa Tеch. Tampа #39;s Мike Williаms, the bеst fоotball plaуer not in the NFL - now officiallу the bеst cоllege foоtball plaуer"
"General Mills goes whole grains NEW YORK (CNN/Money) - General Mills announced plans Thursday to start using healthier whole grains in all of its ready-to-eat cereals, including children #39;s cereals such as Trix, Cocoa Puffs and Lucky Charms.",2,"Genеral Mіlls goеs whоle graіns NЕW YORК (CNN/Moneу) - Generаl Mіlls announсed рlans Тhursday to stаrt usіng hеalthier wholе grаins in all of its ready-to-еat cereаls, includіng chіldren #39;s cеreals such as Triх, Cocоa Рuffs and Luсky Сharms."
"Big merger could box Qwest in Qwest Communications may not be immediately affected by a Sprint-Nextel merger, but its options could become more limited. At one time, Qwest and Sprint were viewed as possible merger partners.",2,"Bіg mеrger cоuld bоx Qwеst in Qwеst Сommunicаtions maу not be immеdiately affeсted by a Sрrint-Nextel mеrger, but its oрtions сould bеcome more lіmited. At оne tіme, Qwеst and Sрrint were vіewed as pоssible mergеr рartners."
