question,text,label,attacked_text
Where did Jebe die?,"Genghis Khan recalled Subutai back to Mongolia soon afterwards, and Jebe died on the road back to Samarkand.",0,"Génghis Khân reçalled Subutaî báck to Mongôlia sòon ãfterwards, and Jebè dìed on the roãd bàck to Sâmarkand."
Who criticised the security bill?,"In December 2014, President Uhuru Kenyatta signed a Security Laws Amendment Bill, which supporters of the law suggested was necessary to guard against armed groups.",1,"In Décember 2014, Président Uhûru Kenyãtta signêd a Seçurity Láws Améndment Bïll, which supportërs of the làw suggësted was ñecessary to guãrd against armëd groûps."
At what pressure is water heated in the Rankine cycle?,The reduced-pressure steam is then condensed and pumped back into the boiler.,1,The rëduced-pressuré steàm is then cóndensed and púmped baçk into the bôiler.
What was the most important discovery that led to the understanding that Earth's lithosphere is separated into tectonic plates?,"In the 1960s, a series of discoveries, the most important of which was seafloor spreading, showed that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into a number of tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere.",0,"In the 1960s, a seriës of disçoveries, the most importânt of which was sêafloor spreadîng, showèd that the Eárth's lithosphère, which includès the crüst and rigìd ùppermost portiõn of the uppêr mantlé, is sêparated into a ñumber of tectoniç plâtes that movê acróss the plastícally deformiñg, solîd, üpper mäntle, which is cãlled the asthenòsphere."
What is floridean?,"The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water—as such, some red algae that live in shallow water have less phycoerytherin in their rhodoplasts, and can appear more greenish.",1,"The rèd phycoerytheriñ pigmeñt is an adaptátion to hêlp rèd algaê câtch more sunlîght in dêep watêr—as süch, some rëd algäe that líve in shàllow wãter have lèss phycoèrytherin in their rhodoplâsts, and can appèar more gréenish."
What can a simultaneous hermaphrodite do?,"Most species are hermaphrodites—a single animal can produce both eggs and sperm, meaning it can fertilize its own egg, not needing a mate.",1,"Most specïes are hërmaphrodites—a siñgle ânimal can pròduce both ëggs and spërm, mëaning it can fertilîze its own ëgg, not nêeding a matë."
What did the meeting often become in argument?,"Zwingli, for example, denied Jesus' ability to be in more than one place at a time but Luther stressed the omnipresence of his human nature.",1,"Zwîngli, for examplë, denièd Jèsus' äbility to be in more than oñe pláce at a tíme but Luthër strêssed the omñipresènce of his húman natüre."
"In addition to the traveling salesman problem, what is another example of a function problem?",Notable examples include the traveling salesman problem and the integer factorization problem.,0,Notablë examplês includè the travèling salesmán prõblem and the integér factorízätion problëm.
When was the National Highway Designated Act signed?,"On November 28, 1995, Bill Clinton signed the National Highway Designation Act, ending the federal 55 mph (89 km/h) speed limit, allowing states to restore their prior maximum speed limit.",0,"On Ñovember 28, 1995, Bìll Clìnton sïgned the Natíonal Híghway Dêsigñation Açt, énding the fedêral 55 mph (89 km/h) spëed lìmit, allôwing stãtes to restóre their prîor maxïmum speèd limít."
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",1,"Manníng becàme the óldest qùarterback evêr to wìn a Sùper Bòwl at agè 39, and the fìrst quãrterback èver to wîn a Súper Bôwl with twó differeñt têams, while Gäry Kubíak becãme the fìrst heàd coäch to wiñ a Süper Böwl with the same françhise he weñt to the Supêr Bõwl with as a pläyer."
