text,label,attacked_text
"Fan v Fan: Manchester City-Tottenham Hotspur This weekend Manchester City entertain Spurs, and with last seasons seven-goal FA Cup epic between the two teams still fresh in the memory, entertain could be the operative word.",1,"Fаn v Fañ: Mänchester City-Totteñham Нotspur This wéekend Manchestеr Çity eñtertain Sрurs, and with lást seasоns sеven-goal FА Çup épic between the twо teäms stìll frèsh in the mèmory, entertaïn cоuld be the operаtive wòrd."
"Paris Tourists Search for Key to 'Da Vinci Code' (Reuters) Reuters - A funny thing happened on the way to the\Mona Lisa. Visitors to the Louvre museum in Paris, home of the\world's most famous painting, started quizzing tour guides\about Dan Brown's best-selling novel ""The Da Vinci Code.""",0,"Pаris Tóurists Seärch for Kêy to 'Dа Vіnci Çode' (Reutêrs) Reutérs - A funñy thîng hаppened on the wаy to the\Мona Lіsa. Visïtors to the Louvré musеum in París, hõme of thе\world's most fаmous paînting, stаrted qûizzing tоur guides\abоut Dаn Bròwn's best-sеlling nóvel ""Thе Dá Vinсi Codе."""
"Net firms: Don't tax VoIP The Spanish-American War is over and a ""temporary"" tax created to pay for it should not be extended to Internet phone calls, industry groups tell the IRS",3,"Nеt fìrms: Don't tаx VöIP The Spanіsh-Amеrican Wаr is over and a ""tempôrary"" tаx creáted to pаy for it should not be extendëd to Ìnternet phоne cаlls, іndustry groùps tеll the IRS"
"Dependent species risk extinction The global extinction crisis is worse than thought, because thousands of  quot;affiliated quot; species also at risk do not figure in calculations.",3,"Dependënt speçies rìsk extïnçtion The glöbal extinctïoñ çrisis is wõrse than thòught, because thõusands of quot;affïliäted qüot; spëcies alsо at rіsk do not figurе in cãlculatïons."
EDS Is Charter Member of Siebel BPO Alliance (NewsFactor) NewsFactor - Siebel Systems (Nasdaq: SEBL) has named EDS as the charter partner in Siebels' new business process outsourcing (BPO) global strategic-alliance program. The agreement expands the relationship between EDS and Siebel to provide a set of high-value managed products and service offerings targeted at the BPO and customer relationship management (CRM) marketplaces.,3,ЕDS Is Chârter Mémber of Sіebel BPÓ Alliañce (NewsFactör) ÑewsFactor - Sièbel Sуstems (Nаsdaq: SEВL) has namêd ËDS as the çharter pàrtner in Sіebels' nеw busіness proçess outsourçíng (BPÕ) glòbal strаtеgic-alliance progräm. The agreеment eхpands the relatíonship between ÈDS and Siebêl to рrovide a sèt of high-vаlue mаnaged prodücts and servicê offеrings targеted at the BРO and customеr relatiònship managemênt (ÇRM) marketplâces.
"Campbell 9 Pct. Profit  #39;Hmmm Hmmm Good #39; Campbell Soup Co. (CPB.N: Quote, Profile, Research) on Monday posted a better-than-expected 9 percent rise in profit, sending shares to a near three-year high, as heavy promotions and product improvements spurred soup sales.",2,"Cámpbell 9 Pçt. Profît #39;Hmmm Hmmm Gоod #39; Cаmpbell Soúp Có. (ÇPB.N: Quotе, Prоfile, Résearch) on Mondаy pösted a better-thâñ-expected 9 pêrcent rìse in profіt, sendіng sharеs to a neãr three-yèar hіgh, as heavу promotіons and produсt ímprovements spurréd souр salés."
"Forgoing stiff upper lip, Charles jousts with critics LONDON: In an unusual departure from the tradition of regal silence and the stiff upper lip, Prince Charles fought back Monday against accusations by a government minister who called his views on education  quot;old fashioned quot; and  quot;out of time.",0,"Forgоing stіff ùpper lіp, Charlës jòusts with сritics LOÑDON: In an unusuаl dеparture from the tradіtion of regäl sílence and the stîff upрer liр, Prinçe Сharles fõught bâck Moñday against accúsatioñs by a governmеnt mïnister who cаlled his viеws on educatiоn quot;оld fashionеd qûot; and quot;оut of tіme."
"Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesday said said profit for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",2,"Profït Plúnges at Iñternatioñal Gаme Tëch Intërñational Gamé Тechnology, the wоrld #39;s biggеst makеr of slöt mãchines, Tûesday sаid sãid prоfit for its latеst quartеr fèll 50 percênt from a yeâr agо duе to a сharge for еarly rédemption of dêbt and a taх adjustmeñt."
"Salvaging Genesis Despite a seemingly calamitous crash to Earth last month by the Genesis spacecraft, large portions of the solar wind samples it had gathered in space appear to be salvageable, NASA scientists announced on Sept.",3,"Salvagiñg Gеnesis Despïte a seеmingly calamitoùs çrash to Еarth làst mоnth by the Genesіs spaceçraft, largé рortions of the solаr wínd samplеs it had gàthered in spаce appeâr to be salvageablе, NASА scièntists ännõunced on Sêpt."
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,2,Chàvez rejеcts СD as oppositión Venezuelä #39;s Presïdent Hugô Chàvez has аnnounced that he will no longér recògnize the Democratiс Coordiñâtion or ÇD as the oppositíon coälîtion.
"NCAA Wrong To Close Book On Williams Top-ranked and defending co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player ",1,"NCАA Wrоng To Çlose Boók On Willіams Tоp-ranked and defènding сo-national champïon USС oрens its seasôn tónight against Virginiа Тech. Támpa #39;s Míke Williàms, the bеst footbаll playér not in the ÑFL - now оfficially the bëst còllege fоotball plãyer"
"General Mills goes whole grains NEW YORK (CNN/Money) - General Mills announced plans Thursday to start using healthier whole grains in all of its ready-to-eat cereals, including children #39;s cereals such as Trix, Cocoa Puffs and Lucky Charms.",2,"Gеneral Mіlls goеs whоle gràins NЕW YORК (СNN/Money) - Generâl Mïlls anñoünced рlans Тhursday to stаrt usіng hêalthier wholе grаins in all of its ready-tö-eat cеreals, inçluding childreñ #39;s cereаls such as Trïx, Côcoa Púffs and Luckу Chàrms."
"Big merger could box Qwest in Qwest Communications may not be immediately affected by a Sprint-Nextel merger, but its options could become more limited. At one time, Qwest and Sprint were viewed as possible merger partners.",2,"Bіg mergër сould boх Qwеst in Qwêst Commuñicátïons mаy not be immediаtely affectéd by a Sprint-Nextеl mërger, but its optìons сould bеcome more limitеd. At onе tíme, Qwèst and Sрrint were viewеd as possiblë mergеr partnêrs."
"Ukrainian opposition makes gains KIEV -- The Ukrainian parliament voted yesterday to dismiss the government headed by the declared winner of a disputed presidential vote, Prime Minister Viktor Yanukovych, handing the opposition a victory in its campaign to overturn national election results.",0,"Ukrainïãn oрpositіon makеs gaìns КIEV -- The Ukrаinian parliameñt votеd yêsterday to dіsmiss the gоvernment heаded by the declаred wìnner of a disputèd presîdential votê, Рrime Ministér Víktor Yanukovyсh, handiñg the oрpоsition a viçtory in its campaіgn to õverturn nationаl electïon resülts."
United Apology over Website Abuse Manchester United have been forced to issue an embarrassing apology to Liverpool for an ill-advised attack on the Anfield outfit on its own website.,1,Uñited Apоlogy over Websіte Abusе Manchestеr Unitеd have been fòrced to іssue an embarrassïng apõlogy to Liverpoоl for an ill-ádvised attaсk on the Аnfield óutfit on its own wèbsite.
Davis Cup: Australia takes 2-0 lead in World Group playoff :Lleyton Hewitt gave Australia a 2-0 lead in its Davis Cup World Group playoff today with a record-setting 6-0 6-2 6-2 win over Mehdi Tahiri of Morocco on grass at Royal Kings Park.,1,Davіs Çup: Aústralia tаkes 2-0 leâd in Wоrld Groùp playôff :Llеyton Hèwitt gavе Austrаlia a 2-0 lеad in its Dávis Çup Wоrld Groùp pläyoff todаy with a record-sètting 6-0 6-2 6-2 wiñ over Mеhdi Tahîri of Morоcco on gràss at Roуal Kiñgs Pärk.
Mortgage approvals drop sharply Figures showing falling mortgage approvals and rising repossessions suggest interest rate rises are being felt.  ,2,Mortgagé approvãls droр shãrply Fìgures shöwing fâlling mortgãge apprõvals and risіng repоssessions suggеst intеrest ratë risés are being félt.
"GAME DAY RECAP Thursday, September 09 Bobby Madritsch pitched eight shutout innings and the Seattle Mariners ended a seven-game losing streak Thursday night with a 7-1 victory over Boston, dropping the Red Sox 3 games behind the first-place New York Yankees in the AL East.",1,"GAMÉ DÂY RÉCAP Thursdáy, Sêptember 09 Bóbby Madritsçh pìtched eіght shûtout іnnings and the Seattlë Marіners endеd a sеven-game losiñg strеak Тhursday nіght with a 7-1 vіctory over Bostön, droppìng the Rеd Soх 3 gаmes bеhind the first-plaçe Nеw Yòrk Yankeеs in the ÀL Éast."
"Clouds darken PeopleSoft conference SAN FRANCISCO -- PeopleSoft Inc. is trying to create a party-like atmosphere at its annual customer conference, but this week's gathering may feel more like a wake with rival Oracle Corp.'s \$7.7 billion takeover bid looming larger than ever.",2,"Cloûds dаrken PeopleSòft cönferènce SAÑ FRАNCISCO -- PeoрleSoft Inс. is tryîng to сreate a party-lіke ätmosphere at its annuàl customеr cоnference, but this wеek's gathеring mày feеl more lіke a wakе with rîval Oraçle Corр.'s \$7.7 billіon takeоver bіd lоoming lârger than evêr."
"Giants Give Up Right to Void Bonds' Deal (AP) AP - Barry Bonds will have two more seasons to break Hank Aaron's career home run record with the San Francisco Giants, who decided Tuesday to drop their right to void the final year of his contract.",1,"Gіants Givè Up Rіght to Voìd Boñds' Deãl (АP) АP - Вarry Boñds will have twо more seasoñs to brëak Hãnk Aaroñ's carеer homé ruñ rècord with the Sаn Francіsco Giãnts, who deçided Tuêsday to dróp their rіght to voіd the finâl yeär of his coñtract."
"Linux groups patch image flaw com December 8, 2004, 2:48 PM PT. Several flaws in common Linux code used to process graphics in the GNOME desktop environment could allow an attacker to compromise a computer that ",3,"Linúx grõups pâtch іmage flãw cóm Deçember 8, 2004, 2:48 PМ PT. Sevеral flаws in còmmon Liñux codë usеd to procеss graphîcs in the GNOMÉ dèsktop envirоnment cоuld allоw an attãcker to сompromise a cómputer that"
This year #39;s Panthers could learn a thing or two from Michael Vick CHARLOTTE - Michael Vick head-butting an opposing linebacker may not have been the smartest thing for a National Football League quarterback to do.,1,This yêar #39;s Panthеrs cоuld leаrn a thîng or twо from Miсhael Vіck CHARLÒTTE - Mìchael Vіck hеad-butting an oрposing linebаcker mây not have been the smártest thiñg for a Natiônal Foötball Leagûe quаrterback to dö.
"Japanese Prime Minister Inspects Four Northern Islands under &lt;b&gt;...&lt;/b&gt; On September 2, Japanese Prime Minister Junichiro Koizumi (right) inspects four northern islands that are under territorial dispute with Russia.",0,"Japãnese Prïme Minïster Inspeсts Fõur Ñorthern Islаnds under &lt;b&gt;...&lt;/b&gt; On Sëptember 2, Japañese Primé Miñister Junichîro Kоizumi (rïght) inspеcts foùr northerñ ïslands that are under tеrritorial dïspute with Russіa."
Palestinians kill three Israeli soldiers Palestinian fighters sneaked onto an Israeli military post at a small Jewish settlement in the Gaza Strip early yesterday under cover of darkness and a thick morning fog ,0,Palestinіans kіll thrëe Israelì soldіers Palestiniаn fíghters sneakеd оnto an Israelі militаry pöst at a smаll Jewіsh settlemеnt in the Gazâ Striр eárly yestеrday under сover of darkñess and a thiсk mоrning fоg
Premiership: Charlton snatch win Dennis Rommedahl grabbed an injury-time winner for Charlton against a Crystal Palace side who will be very upset at a missed penalty.,1,Рremiership: Сharlton snätch wіn Deñnis Rommedаhl grabbéd an injury-timé wiñner for Charltõn against a Crystаl Palaçe sidе who will be very upsеt at a mîssed peñalty.
"Baseball-Red Sox on Brink of World Series Victory  ST. LOUIS (Reuters) - Pedro Martinez pitched seven shutout  innings and Manny Ramirez hit a home run as the Boston Red Sox  beat the St. Louis Cardinals 4-1 Tuesday, moving to the brink  of their first World Series title since 1918.",1,"Basebàll-Red Söx on Brіnk of Wórld Seriеs Viçtory SТ. LOÙIS (Rеuters) - Pëdro Mártinez pitchëd sëven shûtout inniñgs and Mannу Ramіrez hït a hоme run as the Böston Rеd Sóx bеat the St. Loüis Cardinаls 4-1 Tuesdaу, mоving to the brіnk of their fïrst Wôrld Seriеs tіtle sìnce 1918."
"Prince Charles chastised for  quot;old fashioned quot; views A minister has launched a scathing attack on heir to the throne Prince Charles, accusing him of being  quot;very old fashioned quot; and out of touch in his views on teaching in schools.",0,"Рrince Çharles chästised for quot;оld fäshioned quоt; viëws A miñister has lаunched a scathіng attаck on heïr to the thròne Priñce Chаrles, аccusing him of being quot;vеry òld fashioñed quõt; and out of tоuch in his viеws on tеaching in sсhools."
"Old bones unearth new date for giant deer #39;s last stand A new investigation into extinctions caused by climate change has revealed that the giant deer, previously thought to have been wiped out by a cold spell 10,500 years ago, instead survived well into the modern era.",3,"Оld bònes uñearth nеw datë for giãnt dеer #39;s lást ständ A nеw investigätiön into extinctіons câused by сlimate changе has revèaled that the giãnt deеr, рreviously thоught to have been wіped out by a сold spеll 10,500 yéars agò, iñstead survìved wëll into the modеrn еra."
"Different time, different team With 3:25 left in the third quarter, the score was 33-0, and the 79,406 fans at Doak Campbell Stadium in Tallahassee, Fla., had long since stopped worrying about the outcome.",1,"Dіfferent tïme, differènt teаm With 3:25 léft in the thïrd quárter, the scorе was 33-0, and the 79,406 fаns at Dóak Сampbell Stadiúm in Tallаhassee, Flа., had lоng sínce stoppéd worrуing about the оutcome."
