question,text,label,attacked_text
Where did Jebe die?,"Genghis Khan recalled Subutai back to Mongolia soon afterwards, and Jebe died on the road back to Samarkand.",0,"Gеnghis Khаn recallеd Subutaі bаck to Mоngolia sоon аfterwards, and Jеbe diеd on the rоad bаck to Samarkаnd."
Who criticised the security bill?,"In December 2014, President Uhuru Kenyatta signed a Security Laws Amendment Bill, which supporters of the law suggested was necessary to guard against armed groups.",1,"In Dеcember 2014, Prеsident Uhuru Kenyattа sіgned a Securіty Lаws Аmendment Bіll, which supрorters of the lаw suggestеd was neсessary to guаrd against armеd grouрs."
At what pressure is water heated in the Rankine cycle?,The reduced-pressure steam is then condensed and pumped back into the boiler.,1,The reduced-pressurе stеam is then сondensed and pumpеd bаck into the bоiler.
What was the most important discovery that led to the understanding that Earth's lithosphere is separated into tectonic plates?,"In the 1960s, a series of discoveries, the most important of which was seafloor spreading, showed that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into a number of tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere.",0,"In the 1960s, a sеries of discoverіes, the most impоrtant of which was seаfloor spreadіng, shоwed that the Eаrth's lіthosphere, which іncludes the сrust and rigіd uрpermost pоrtion of the uрper mаntle, is sepаrated into a numbеr of tectоnic рlates that mоve аcross the plastіcally dеforming, sоlid, uрper mаntle, which is cаlled the asthenоsphere."
What is floridean?,"The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water—as such, some red algae that live in shallow water have less phycoerytherin in their rhodoplasts, and can appear more greenish.",1,"The rеd phycоerytherіn pigmеnt is an аdaptation to hеlp rеd algaе catсh more sunlіght in deеp water—аs suсh, some rеd algаe that livе in shallоw watеr have lеss phyсoеrytherin in their rhodoрlasts, and can аppear more greenіsh."
What can a simultaneous hermaphrodite do?,"Most species are hermaphrodites—a single animal can produce both eggs and sperm, meaning it can fertilize its own egg, not needing a mate.",1,"Most spеcies are hermaphrodіtes—а sіngle аnimal can producе both еggs and spеrm, mеaning it can fеrtilize its own еgg, not neеding a mаte."
What did the meeting often become in argument?,"Zwingli, for example, denied Jesus' ability to be in more than one place at a time but Luther stressed the omnipresence of his human nature.",1,"Zwіngli, for еxample, denіed Jеsus' abilitу to be in more than onе рlace at a tіme but Luthеr strеssed the omnіpresenсe of his humаn nаture."
"In addition to the traveling salesman problem, what is another example of a function problem?",Notable examples include the traveling salesman problem and the integer factorization problem.,0,Notablе еxamples inсlude the travelіng sаlesman prоblem and the integеr faсtorizatiоn problеm.
When was the National Highway Designated Act signed?,"On November 28, 1995, Bill Clinton signed the National Highway Designation Act, ending the federal 55 mph (89 km/h) speed limit, allowing states to restore their prior maximum speed limit.",0,"On Nоvember 28, 1995, Bіll Clіnton signеd the Natіonal Highwaу Designatiоn Aсt, еnding the fеderal 55 mрh (89 km/h) speеd limіt, allоwing stаtes to restorе their рrior mаximum spеed lіmit."
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",1,"Мanning becаme the oldеst quartеrback еver to wіn a Suрer Вowl at аge 39, and the fіrst quаrterback еver to wіn a Supеr Bоwl with twо differеnt tеams, while Garу Кubiak becamе the fіrst hеad coаch to wіn a Supеr Bоwl with the same franсhise he wеnt to the Supеr Вowl with as a plаyer."
