id,text,split
2606225,"       today has been one of the hardest days of highschool for me. today was the last time i would see stephy in a ths hall, today was one of the last times i would be able to pass her notes when i ran across her on my way to class, today was the last time i could do the little giggly thing when she would talk about 'her hotties'... today was stephanies last day at thornton. i havent talked about this much because i have really tried not to believe it. i still forced myself to think that she was 'just sick' and that shed be back tomorrow... but she wont... and i dont know wat to say or think about that. i love stephy so much because even though i havent known her for all that long she has really made my life better. you see stephanie was always the girl who would stand up for you if you were in a fight, she was always the one to calm you down after you stood up for her (which i have to say didnt happen often because she has always been one to take care of business). she is just amazing!!! i really didnt get a good chance to get to know her in middleschool because we were never in the same core but when we got to highschool i saw her daily and i got to see how wonderful she really is. every time i think about steph leavin i just burst into tears because i cant stand the thought of her not being here. it is beyond all words that i feel bonded to her in some extraordinary way! for those of you who are reading this and never got the chance at all to meet stephanie and you never knew just how great she is i am really sorry for you because she is one person who in her (soon to be) 15 years of life have made unremarkable changes in the world. she is just more amazing than all the words and sentences and letters and thoughts and ideas can describe. i love you stephy and i hope that you have a wonderful time in alabama and i cant wait for you to get back to colorado this summer so that we can spend more fun filled moments and memories together.  i love you so much!!!  and will miss you  too   much! bye sweetheart!    ",train
1754530,"           Im listening to: Debbie Boone 'You Light Up My Life'  Hello my adoring fans and fanatics(I havent forgotten about you). I would like to thank you all for taking the time out of your day just to read this post... So  Thank You.  Ok now here is something im gonna do for every blog until I run out of them. So here it is( hope you like it).    You have a goodbye kiss- much passion and longing, but never lasting.    urlLink   What kind of kiss are you?     brought to you by  urlLink Quizilla    I like this one but I think last time I was an innocent kiss. Also it seemed like the questions changed from the last time. Maybe it was a different quiz... So yeah I well be giving you guys a quiz every single day... or at least ill try to. Ok? I wont be able to tell you how im feeling anymore or anything cause it will just change how I was feeling for the last couple days... sorry. Not that you care right.  Well no I guess Ill tell you about my shcool days... Ok as you know Schoold started on Thursday August 7, 2003. It started at 8.15... but my bus was late so I didnt get to do a thing before classes. that suck big time cause I was hung by second period! Oh I forgot to tell you that for the first two days of school (Thur. and Fri.) they changed the the schedules around so that we woudl have Three classes a day two hours each. it wasnt bad, just really long. Well anyway here my schedule: 1st Arizona/ American history (required) 2nd Psycology 3rd Algebra II (required) A lunch ( we have two lunch periods A and B) 4th Computer programing 5th Chemistry (required) 6th Composition  Yeah we have six classes a day that are each fifty minutes. Lunch is 30 minutes. Its just barely enough time for everybody to get out of line and actually sit down and eat what they payed (which is crap). Im drinking kool-aid (cherry) and now listening to Brand New. They are pretty cool.  I guess we'll leave it to that.                                                                                                        -Terri         ",train
4046846,"                  50 minutes inline skating Energy level: good   So after Francesca and I skated on Sunday, she mentioned that for some reason her left side hurt a bit more. Of course, after the first time I went skating, I rediscovered new muscles, too. But I realized my left leg felt a bit tighter than my right as well. I wondered whether it was because my left leg is the one that was injured and will probably always be a bit screwy, or whether there was something I was doing.  As I fiddled with my boots trying to get both skates feeling comfortable and stable at the same time I thought perhaps the boot fit was contributing. But then I looked at how I was skating and realized that I definitely favor the left side. I tend to push off harder from the left and coast a little more with the right. So for the second part of my skate tonight I tried to pay more attention to pushing hard from the right. We'll see if that affects things.  I also haven't been very good about stretching after skating, which isn't good. I always stretch at the gym, and I always stretch after I run. Skating shouldn't be any different.  Taking last night off was the right decision. I woke up feeling much better mentally and physically today. I need to find that balance between not cutting myself too much slack and getting lazy and listening to my body when it says 'no mas!'              ",train
2635745,"       This week is off to a good start.  A few set backs but great so far.  To start we did not have school on Monday and it snowed.  Yeah!  We went back to school Tuesday and I had fun presenting my Geography project to the class.  Imagine last year I was completely stagefright.  In second period we had a review game in Wellness, it was girls against guys.  There were seven girls left and one guy left and coach Waggoner asked the girls a question and they got it wrong and Kevin got it wrong now if the next girl go it right Kevin was out and the the girls got three extra points on their test.  But if she got it wrong Kevin was still in.  Now someone asked whose next and I timidly raised my hand.  And you hear guys say oh god she knows it.  And girls say yes.  I was like you don't know if I know it.  Then Coach Waggoner says now be quiet she knows it.  And then I answered and he said correct.  And because of me all the girls in our class got three points added to their test.  Later that afternoon we had practice and a meeting.  Now for the National Qualifying Events Competition our team was allotted two Public Forum Teams that did not count against our total allotment of entries.  Ms. Then comes into practice and said I want Lindsay and Sara on a team and on the other team I want Michael and Caitlin.  I'm thinking oh shit.  What the fuck am I going to do.  It will be really fun, but two whole days of Michael.  Nonstop Michael.  OH MY GOD!  But then I figured we'd make a good team.  I'm prepared he's not.  He has tons of knowledge.  I don't.  We're going to kick butt.  Whoo!   Ta Ta For Now         ",train
2075712,"   Happy New Year!!!!  Ok, I know that was extremely late considering we are already 8 days into January...but better late than never.   I haven't had the chance to write here since...Dec. 21st...damn.  You'd think I have a life or something...lol.  Christmas kind of sucked for me because I was very sick...in fact I would have preferred to be in bed on X-mas eve than to be receiving presents.  I hadn't been that sick since I was a little girl...and the worst part is that I have asthma so everytime I get sick it seems to get worse.  New Years week was much better for me....my cousin, Silvi made a surprise visit from Colombia.  It was really great to see her again...last time I saw her was when she was 15 and I was 16.  The funny thing is that we did not grow up together yet I feel like she's one of my favorite family members from my dad's side.   We click really good together.  I spent New Year's eve with Silvi, my bro, my cousin Migue, and of course my boyfriend.  It was fun...we just hung out with several other friends, drank, played ping pong *my cousin Migue's X-mas present from his girlfriend*, and listened to music.  Later on in the night, my boyfriend and I went to his house to spend some time with his family.  Ummmmm.....BAD idea!! Everyone was already kind of tipsy...excluding my responsible boyfriend (he's a responsible driver).  So, one thing led to another...and long story short my boyfriend got into an argument with this mother.  Then one of his nosy aunts decided that the reason my boyfriend argued with his mom was because he MUST have been in a bad mood with me....DAMN, why do people always have to go assuming shit ?????   We were having the bestest time until we got there.  Oh well...we still had fun that night.   The next couple of days were spent hanging out w/Silvi before she left on Jan. 4th.    Now I'm almost through with the 1st work week in January...tomorrow is PAYDAY !! Which is absolutely $%ckin' great!! I know I'm not the only broke one after X-mas.    BTW...I just realized that in the last post I didn't even mention what 'Sancocho de Gallina' is....so, it's just a Colombian version of Chicken Soup.  It's really great, if anyone wants me to translate just let me know.  COUNTDOWN: 10 more days until my   urlLink 21st Birthday   ",train
2847775,"       I am exhausted from last night. Last night around 3am my roommate Shontell’s brother’s friend called to tell her that her brother was in the hospital.  He had fallen off a pier in Hampton, VA where he goes to school.  Apparently, he was drunk (I know this because he had called earlier and I spoke to him), wandered off to the pier, and fell in.   A stranger found him unconscious in the water.  Of course Shontell was frantic, so I had to call her parents for her.  I could go my whole life without ever having to get these kinds of phone calls.  Her dad called the ER where Jay was being treated, but couldn’t get any information, so her parents drove to Hampton last night.  It looks like he is going to be ok, they have to run a few more tests and stuff, but he is slowly starting to respond.  I obviously slept very poorly last night.  I just keep thinking how damn lucky this boy is, how this could have turned out wrong in so many ways.  He could be dead, brain damaged, robbed, or murdered, EASY.  The really scary thing is this is identical to what happened to one of our classmates in December, unfortunately Chris Bartok was not so lucky.  He wandered away from the law school end of semester party and drowned on the waterfront in Georgetown.  That could have been Jay, it really pains me to think that.  I think we all need a wakeup call; people shouldn’t be losing their children to alcohol related accidents.  We need to be better friends (who the hell let Chris and Jay wander off), we need to be better role models, we need to be more responsible for ourselves, we need to think about the consequences of our actions.   Today is my last day at work until after finals.  I am pretty bored, I don’t have much to do, but try to get some attention from my crush.  I guess that is all it is, and will ever be :(. How sad.  I think I like him, but I don’t know how to change the nature of our relationship.  I am pathetic.    It is finally over with Darien and me.  I haven’t talked to him for almost 2 weeks.  I am a coward though, I just stopped taking and returning his phone calls instead of breaking up with him.  I couldn’t bring myself to do it, I know I completely suck.  I figure he will call me in a few days and act all mad, and I will act all aloof and let him break up with me.          ",train
1835882,"             today just never ended...3rd period just kept going i thought it would never end and then after that just all my classes forever! now im  finally  home. i've had an exhausting day but, i didnt do anything really to make it exhausting. tomorrow will be  awesome !!! im leaving after band, then im just going home and will there til 3. there is really no point for me to even go to school tomorrow b/c here is my schedule for tomorrow: 1.  math  - n/t to serious there 2.  History  - crossword puzzle 3.  Indepent Study in Music  - i will be going to  studyhall  which im happy about 4.  Band  - ugh! we have to play 5.  Studyhall  - i actually have a studyhall that im spose to be in 6.  French  - i will again be going to  studyhall . we dont have class 7.  Phy Ed  - we'll probably weightlift so see there is no point to going to school tomorrow. moving on...i did learn something today though...i learned how to use some of the weightlifting equip. today. i cant lift very much but at least i can do it. i can lift anywhere between 50 and 80 for my arms. 80 is pushing it though and my legs i think anywhere between 30 and 60. lets talk about lunch...guys are  asses  especially the ones who sit w/ sarah and i. we do not have to take any of that crap! today really got to me and for the first time it was also directed toward me and i listened and it really hurt me. normally they just make fun of sarah and say really cruel things and laugh in her face and i always told her to not let it get to her but today it got to me. i really dont understand why they needed to rag on us i mean we didnt do anything to deserve what they said to us.  band...i needed to go to a mental institution  only for today during that period. too much  flute  this and that! ahhh! i wish school would just be done w/!         ",train
3418275,"             There is an ancient maxim that states, “Teach them correct principles and they will govern themselves.”  While this adage is devoted primarily to moral and ethical principles, it may be applied beyond.  Another similar axiom states, “Feed a man a fish, and he will eat for a day, teach him to fish and he will feed for a lifetime.”  Both adages are rooted in the notion of the existence of “universal” truths that intersect all knowledge (e.g., the scientific process as means to solve problems). Individuals who acquire skills and knowledge (i.e., become literate) begin to “see the whole schema” and “know how to navigate its system.” In the end, those individuals are “set free” or rather released from “external governance” exercising “free will” within the confines of culture and society. Anyone who labors to instruct seeks to help individuals locate the “inner locus of control,” i.e., the will to learn.  Thus, teaching is as much a matter of tapping into the interest and  natural  ability of a learner and deepening their knowledge as a means to engage their  will  to learn as it is a matter of broadening their horizons.    According to  urlLink  John Taylor Gatto (go to article),  schooling merely “dumbs down” human potential by keeping individuals from “growing up.”  Hmmm…Critics of education find it easier to disparage schooling practices than to find solutions…    First, though, we must wake up to what our schools really are: laboratories of experimentation on young minds, drill centers for the habits and attitudes that corporate society demands. Mandatory education serves children only incidentally; its real purpose is to turn them into servants. Don't let your own have their childhoods extended, not even for a day. If David Farragut could take command of a captured British warship as a pre-teen, if Thomas Edison could publish a broadsheet at the age of twelve, if Ben Franklin could apprentice himself to a printer at the same age (then put himself through a course of study that would choke a Yale senior today), there's no telling what your own kids could do. After a long life, and thirty years in the public school trenches, I've concluded that genius is as common as dirt. We suppress our genius only because we haven't yet figured out how to manage a population of educated men and women.  The solution, I think, is simple and glorious. Let them manage themselves. (Harper's, Sept 2003)           ",train
3039274,"       08:40 hrs Approx These days, the weathers turning real humid. Its around  this time of the year that I really wish I aint a Singaporean. Why cant I be born in a country with a cooler climate? Due to my schedule for the rest of the day, I decided to put on a singlet under my business shirt before heading to work.  Hate it when I perspire and the bloddy shirt starts clinging  to my back. Hate it when I have the water-splashed-on-me -look when I eventually get to the office. *ended up looking pretty much like an uncle, I think.. guess u can call me  Uncle Tan.  10:00 Approx.  Went for a puff with the guys and discovered all 3 of us  are wearing blue! Sheesh hate it when that happens.   12:15 Left my office for the head office.  14:00 Met the HR manager. I was invited to share my experience working at my current place at a recruitment talk. This  was my second time, guess the 1st time round, the  management must have figured that my acting skills were  pretty good and decided to use me again. I sat there with the HR exec.s while the manager gave the applicants an  introduction to the scheme. Man, I almost fell asleep. This  manager has got to have the most boring voice I have  ever come across. Monotonous, without any pitch at all... It was like Yada yada..da..yada.. makes chanting sounds  like fun. Then it was my turn to take over the stage. &  the liar in me promptly took over.. At this point in time, I wish to apologise to all the applicants that if you had joined us cos you were swayed by my account of life in this organisation, I can only... say sorry. But what said were all true, I didnt lie.. Its just that I kindda played  with the words and painted a rosier picture.. thats all.. what was I to do.. I couldnt have said.. XXX is a stupid place, dont even consider joining us right? Hope you  guys can understand. Hey, forgive and forget okay.   15:30 Met up with Mr R for a smoke, ran into Miss E, Miss F and Miss A. Hmm..never knew Miss A could look as  yummy as she did today.. Tainted lenses, dark  rebonded hair, dresses in a pair of causal sandals  and what looks like a sarong.. she looks like she just  came back from Bali or something. :P  16:00 Attended a meeting with about 10 other executives from various departments. You see, the orgainisa- tion I work for is working towards obtaining a  benchmark, standard or certificate.. something along  the lines of ISO9001. And this meeting is held  specifically for us so that in a few days time when  the independent assesors/ auditors come down to  assess the organisation and interview us.. we would  know exactly what to say and what not to. Isnt  that incredible? Firstly, this certification that the  organisation is trying to acheive aint some dumb mickey mouse stuff. Its suppose to be widely  respected and they are like telling us.. O dont  tell them that we dont practice this thinggy  here la.. try to be smart and smoke them a little.. I was like.. I couldnt believe my ears. Plus they  even know that the 10 of us would be the  selected ones chosen on the day for the  interview when it should have be a situation  of random picking. Ha.. What a joke! Its like the bookies at work.. before the match gets  underway, they already know what the eventual scoreline would be.. match-fixing.  But I guess thats always been the case with  everything in life huh. As a particularly famous  playwright by the name of William once said..  'All the life's a stage.. and we all but actors'  or something like that. By the way, it aint  William Hung.. You nitwit! Life's but just a big wayang.. we are all pretending and acting.. You can dowhatever you want but just dont get  caught...  18:15 Approx. Borders, meeting up with gf later for Japanese. Meantime, reading a book titled 1401.. Most  fascinating.. Talks about Emperor Zhu Di and  the eunich Zheng He and the might of China in the 15th century... How incredibly advanced  China was.. then.. compared to the rest of the  world. For instance when the King of England,  I think it was Henry V.. got married, there were 600 guests. But when the Emperor of China  greeted his foreign guests, there were a tens of thousands of dignitaries at his court who sat  thru a 10 course meal! When the imperial  chinese fleet set sail, it was the world's largest  armada ever. Had the navies of the known world come together, the Chinese fleet would have  just swept them aside. Wow! I was like totally  blown away. I mean, I knew all this while China  was really advanced at one point in time before Europe's renassaince age.. I just didnt know  they were that advanced. Another example, the Chinese fleet were armed with guns, cannons,  incedinary weapons while European fleets were still armed with bows and arrows. For a history  buff like me, it was a most interesting read!  19:15 Approx Dinner  21:30 Movies, 50 first kisses. Go and watch the movie!  I sincerly advise anyone whos reading this to go. I laughed so hard I almost threw my lungs out.  *sleepy and kindda horny.. think will go sleep liao. Nite all and sleep tite. To my 2 of my friends over in Australia, hey gd luck with ya papers. :)   www.movieposters.mypicgallery.com         ",train
2917148,"            you     boy/girl:  Girl     age:  old enough     straight/gay/bi:  even i dont know      your partner     boy/girl or i like both:  Male     race:  white/american     hair color:  Black     hair length:  getting long but shaved on the sides ^-^     short or tall:  Tall    fat, average, thin:  average     older or younger:  same age     oldest or youngest you would fuck:  O_O    big or small breast:  small     big or small dick:  i dont care     cut or uncut:  doesnt matter     hairy, trimmed or shaved pussy:  shaved     hairy or trimmed balls:  trimmed i guess...?     sex     fav. position:  eh     spit or swallow:  I wouldnt know o.0     loud or quite:  not to loud     use toys:  sure why not?    use food:  depends     any fetishes:  hehe     any fantasies:  not really     when was the last time:  0.0     are you horny:  course     are you touching yourself:  no     going to have sex or masturbate today:  i wish v.v       what you like in a sex partner  brought to you by  BZOINK!      ",train
