id,pair_id,variant,text,source,attack_type,generator_model
p001__orig,p001,original,"['China is a country with a long and complex history. For many years, China was a very poor country, and its people lived in poverty. However, in recent decades, the Chinese government has made changes to the way the country is run, and as a result, China has become much wealthier. One of the changes the government made was to allow people to start businesses and make money. This is called a ""free market"" because people are free to buy and sell things and make a profit. This has helped China become a very successful country, with many multi-billion dollar companies. At the same time, the Chinese government is still a communist government, which means that it controls many aspects of life in the country. For example, the government controls the media and what people are allowed to say, and it also has a say in how businesses are run. So, even though China is a very successful and wealthy country, it is still a communist state, and this means that the government has a lot of control over the lives of the people who live there.']",ai,char,all-mpnet-base-v2
p001__hum,p001,humanized,"['Çhìna ïs а country 🇷🇪 with 👩🏻‍🐰‍👩🏿 a löng 🆖 ând cоmplеx 🅿 history. Fór mаñy уèars, China wаs а vërу рoor countrу, аnd its people ▶ 🇨🇮 líved 📧 íñ povertу. However, 🕚 iñ rесent decadеs, 🅰 thë 🇲🇵 Çhînese ️‍ gõvеrñmênt has 👢 mâdé chаnges tö the wаy thé cоuntrу 🇻🇮 іs run, ând as 👨🏽‍🚀 à rеsult, Çhina häs becõme much 🇺🇲 wealthiêr. One 🦹🏿 💯 òf ‍ thè chаñgеs thе govèrñment made ‍️ was tо allõw people tо 👕 stãrt bùsiñésses аnd 🤗 🇨🇮 mäkê monеy. This is 🈹 called а ""free markêt"" 🇷🇪 bеcaûsë ‍‍ peôple ‍‍ ‍‍ aré 💠 frее tõ búу and sеll thíngs аnd make а profit. 🤚 Thіs 🇻🇮 häs 😀 🇸🇻 helрed Chіna becôme ️ ä very suсcessfül coúntry, wіth mаny multï-billïön dõllar comрanіes. Ât thè ‍ sаme tіme, thе Chinesе 🧑🏿‍🦼 gоvernment is 🇻🇮 stíll 🇵🇲 ã communist government, whіch 🇨🇮 meáns thаt іt contrоls many ãspeсts 👢 of life in ‍ the 🤲🏾 çountry. Fõr example, thе govérnmeñt 👕 controls the 🇹🇷 media аnd 🇨🇮 whаt peоplе аrê allowed to 👩🏼‍🦽‍➡️ ‍‍ sау, ãñd ït 🇵🇸 âlso 🕗 🇸🇹 hаs ä say 👒 in höw businesses arë run. Só, eveñ though 🇸🇹 China 🧖🏻‍♀️ îs ‍ a véry successful 🇻🇮 аnd wealthy côuntry, іt is ‍ stîll а сommunist stаtе, аnd this meañs that thé goverñmeñt hаs ️ а ‍‍️ lòt of control över 🇷🇪 thë lìves ♦ оf thе ️ people who líve theré.']",ai,char,all-mpnet-base-v2
p002__orig,p002,original,"['Prejudice against Jews, often referred to as anti-Semitism, involves hostility or discrimination based on their religion, ethnicity, or cultural identity. It’s important to recognize that targeting anyone for these reasons is unacceptable. One of the most infamous examples of such hatred is the Holocaust during World War II. In that period, Adolf Hitler, the leader of Germany, orchestrated the systematic killing of millions of Jews due to his belief in their supposed inferiority. This remains one of history’s most devastating tragedies, marked by immense suffering and loss. Remembering these events underscores the importance of rejecting hatred and treating all people with empathy, dignity, and respect, regardless of their background.']",ai,char,all-mpnet-base-v2
p002__hum,p002,humanized,"['Prejudïçe agаinst Jêws, oftên referred to as anti-Sèmïtism, involves ‍‍ 🇲🇫 hostility ör dіscrіminatіon bãséd on thеír religіon, 🇹🇷 ethnісity, оr cultural identity. Ït’s 🕚 important tо rеçognizе thât targèting ‍‍️ anyone fòr thеse reãsons ïs unacсеptablе. One of thе mоst infamous examples ôf such hatred is ‍ the 🤗 Hôloсäust durіng Wоrld War IÎ. In thаt рeriоd, 😘 Adolf Hіtler, the leаdеr ôf Germany, 🏋🏼‍♂️ orçhestrãted thе systematic 🫵🏽 kіllіng оf millions of Jêws duе to 🧖🏽‍♂ hіs belіèf ïn their 🫵🏾 supposed inferіorіtу. Thìs 🇸🇹 remaíns óne оf històry’s most dêvastatîng tragediеs, marked by ‍‍ immeñse suffering and 🤝🏽 loss. Remembering ‍‍ these 👢 evénts 👕 🇸🇹 undërscòrеs thê іmpоrtañсe óf rejecting hatred ‍ and trèаting аll people ‍‍ with ‍‍ empathy, dignity, аnd respeçt, 🇻🇮 regãrdlеss оf ‍️ théìr backgröünd.']",ai,char,all-mpnet-base-v2
p003__orig,p003,original,"[""A web designer is someone who is responsible for the visual design of a website. This includes things like the layout, color scheme, and overall appearance of the site.\r\n\r\nA web developer is someone who writes the code that makes a website work. This can include things like building the site's structure, adding functionality, and integrating databases.\r\n\r\nA web programmer is someone who writes code specifically for programming tasks, such as creating applications or systems that run on the internet.\r\n\r\nThe normal workflow for building a website might involve the following steps:\r\n\r\nPlanning: This involves figuring out what the website should do and how it should look.\r\n\r\nDesign: The web designer creates mockups or prototypes of the website to give an idea of how it will look and function.\r\n\r\nDevelopment: The web developer writes the code that brings the website to life. This includes things like building the site's structure and adding functionality.\r\n\r\nTesting: The website is tested to make sure it works as intended.\r\n\r\nLaunch: The website is made live and made available to the public.\r\n\r\nDatabase design is an important part of building a website, as it involves creating a system for storing and organizing data. A database designer is responsible for creating and maintaining the structure of the database, which is then used by the web developer to build the website.\r\n\r\nSo, in summary, a web designer focuses on the look and feel of a website, a web developer writes the code that makes the website work, and a web programmer writes code for programming tasks. The workflow for building a website typically involves planning, design, development, testing, and launch, and database design is an important part of the process.""]",ai,char,all-mpnet-base-v2
p003__hum,p003,humanized,"[""A web dësïgner ️ is ‍‍‍ ️ somëóne whо іs rеsponsiblе 👢 fоr thе 🇺🇲 vïsual 🇸🇹 dêsіgn of a wеbsite. This іnçludes things likе thë layout, çolõr schémе, аñd overáll äppèarànce 🅿 оf ‍ the site.\r\n\r\nA 🇸🇹 ️ wèb déveloper is someone 💯 whô wrìtes thе cоdе that 🌉 makes а wêbsite wоrk. ‍ ‍ Thïs саn iñсlûde thïngs lіke building the 🤒 site's struсture, adding functìõnâlity, añd íñtegrating dаtаbаsеs.\r\n\r\nA wéb programmer is someòñe whô writes сode 🇨🇮 specifically fоr programmіng tàsks, süсh äs crеatîng аpрlicаtions оr ‍ systеms thаt run 🏃🏻‍♂‍➡ оn thе interñêt.\r\ñ\r\nThе nòrmal 😘 workflow för 🇷🇪 buіlding ä websitе might invоlvе the following steps:\r\n\r\nPlanning: ‍ ‍‍️ Thîs invоlves ‍️ figürіñg 🕓 out 😶 whãt thê websitè 🇻🇮 shоuld 🇨🇮 dõ 🇨🇮 and how ít shòuld 👚 look.\r\n\r\nDesіgn: ‍ Thе wèb ⛑ desіgner creates 👢 mockups or 🕕 protõtypes оf the wêbsitè tô givе аn ídeа оf hоw it ‍️ will look änd functіon.\r\n\r\nDevеlоpment: 👯🏾‍♂ The web developer writès the code thаt brings ‍‍️ ‍ thе wеbsіte 🇸🇹 tо life. This іncludеs thіngs likè büildiñg thе sitе's struсturе and аddіng fúnçtioñàlity.\r\n\r\nTésting: The website is tested 🇻🇨 tо mаke sure іt wòrks аs intended.\r\n\r\nLaunch: The websïte ís made ️ lіve and ‍ mаde available 🅰️ to ‍️‍ thе 🫵🏿 public.\r\n\r\nDatabase design іs añ imрortànt pаrt оf ‍️ búіldiñg a wеbsitе, as ït іnvolves ‍️ creating à systëm fоr storiñg аnd örgánizing data. Á ‍ datаbase desіgner іs responsible fоr creаting ‍‍ and maintaining thè structure óf thè dаtаbasë, which 🇨🇮 ìs thеn usеd 🇨🇮 by thе ️ web 🕖 dеvèloрer tö build the websіte.\r\n\r\nSo, іn summаrу, a wеb desígner fõсuses on thе 👕 look 🙆🏿‍♂️ аñd 🇨🇮 fèel 🇸🇻 оf ‍ a wëbsite, 👚 ä ‍‍️ wеb dеveloреr 🚹 wrítes ⛑️ thè 🇹🇷 codе thаt makes ️ thë 📧 website work, аnd a 👩🏾‍🫯‍👩🏿 wеb progrâmmеr wrіtés codе fór programming ‍️ tаsks. Тhе wörkflow fоr building á wëbsіte typically involves рlànnìng, dеsign, dеveloрmént, testing, 🧘🏻‍♂️ аñd launch, 🇺🇲 ❤ 👉 and database design іs аn ‍️ important párt of thе 👕 © prоcess.""]",ai,char,all-mpnet-base-v2
p004__orig,p004,original,"['Sure! A router and a modem are both devices that help you connect to the internet, but they have different jobs.\r\n\r\nA modem is a device that connects your home or office to the internet. It does this by connecting to your internet service provider (ISP), which is the company that provides you with internet access. The modem takes the internet signal from your ISP and brings it into your home or office so you can use it.\r\n\r\nA router is a device that connects all of your devices, like your computer, phone, and tablet, to the internet. It does this by creating a local network in your home or office. The router takes the internet signal from the modem and shares it with all of your devices, so they can all connect to the internet at the same time.\r\n\r\nSo, to sum it up, a modem brings the internet into your home or office, and a router helps all of your devices connect to the internet.']",ai,char,all-mpnet-base-v2
p004__hum,p004,humanized,"['Sùre! À roütеr 🅰 añd а modem 🕕 áre 🇷🇪 both deviсes thât hêlp 🅿️ yõû сonnect tо thë internet, 🧖🏻‍♀️ ‍️ but thеy have different jobs.\r\n\r\nÃ modem іs a devîсе thàt cònnеçts yóùr home òr ‍ offiсe tõ thê intеrnet. Ìt does 🇨🇮 thîs by connecting to 🤹🏼‍♂️ ‍️ your 🤟🏿 intèrñet servicе prövider (ISP), whìch 🇨🇮 is 👨🏼‍❤️‍💋‍👨🏻 thе сompañу thаt provides yöu wіth iñterñеt ️ аccess. Thè mоdèm tãkеs thé іnternet 🇹🇷 signal fròm your 🕐 ÏSP 🇻🇮 ànd 🇨🇮 brіngs іt іnto yоûr home ️ оr offiçе so you сàn usê 🇷🇪 ìt.\r\n\r\nA 🦖 🇷🇪 roüter 🕓 © 🇷🇪 ìs а devíçë that connеcts 🚹 áll оf yоür devices, lіke 🇸🇹 your computêr, phone, äñd tablеt, tо 🦖 thе internet. 👩🏽‍🦼 It döеs this 🇺🇲 🅱️ bу creаting 🧑‍🦽 ‍ ã 🇻🇳 loсäl nëtwork іn yòur 🇷🇪 homе оr office. ️ The router 🕑 tаkes thе іnternet sіgnal ️ frоm thê Ⓜ modem аnd 👒 shares іt ❤ ‍️‍ wіth аll оf уöur dеviсes, sо thеy саn аll coñneçt 👕 tó thе 🧑🏿‍🦽‍➡️ intеrnet аt thë sаme timè.\r\ñ\r\nSo, 👕 tо süm it ‍‍ up, а ‍️ modem brings the íñternet into ‍‍ yòur 🇺🇲 homë оr 🇷🇪 office, 🤘🏿 añd a ròutèr helрs 🇸🇹 all of your 🕖 dêvices connëçt 🎃 tõ thê 👕 intërñet.']",ai,char,all-mpnet-base-v2
p005__orig,p005,original,"[""Homeowner associations, or HOAs, are organizations that are formed by the homeowners in a particular community to maintain common areas, enforce rules, and manage the overall appearance and operation of the community. In order to carry out these responsibilities, HOAs are given certain legal powers, such as the authority to impose fines or other penalties on homeowners who violate the rules of the association. However, it's important to note that HOAs do not have the same level of legal authority as a government agency or law enforcement agency. They are not able to arrest or detain people, and they cannot make laws or enforce criminal penalties. Instead, their authority is limited to enforcing the rules and regulations of the association, which are typically outlined in the community's bylaws or covenants, conditions, and restrictions (CC&Rs). So, in the story you mentioned, it's possible that the HOA was acting within its legal authority by enforcing rules or regulations that were outlined in the community's bylaws or CC&Rs. However, it's also possible that the HOA may have overstepped its bounds or acted outside of its legal authority. Without more information, it's difficult to say for sure.""]",ai,char,all-mpnet-base-v2
p005__hum,p005,humanized,"[""Homeowner assoсіatіons, ™ or HOAs, arе organizations thаt are formed by thе homeоwners in a ‍️ 🇧🇲 particular 🇨🇮 cоmmunity to maintаin сòmmon ärеas, enforçê rules, 🇻🇮 аnd manаge 🇹🇷 the overall appearance añd operation ️ of thê commùnîty. Iñ òrder to сârry out these ⛑️ réspònsïbìlitiës, НOАs are gîvên certain legal powérs, such 👡 as thë aûthority to imposе fînes оr othèr penаltiеs 🇺🇲 оn homeowners whо violate 🇹🇷 thè rûles 🇺🇲 оf thé association. Howévèr, it's important ‍ to note that HOÀs dо 🇨🇮 ñot 🇸🇹 hàve thè same 🤙 lévеl оf lëgаl authorîty аs ‍ a government 👨🏿‍🐰‍👨🏻 ️ ageñcy ór 🇷🇪 law enfórçeméñt ageñсy. Тhey аrê ñоt äblе tó аrrest оr dеtãіn people, ‍‍ аnd thëу çаnnõt makе 🅰 laws 😘 or 👩🏾‍⚕️ enforce criminаl реnalties. Insteаd, thеir 🇷🇪 authority 🕓 ìs 🚺 lіmited tô ënfõrcіng the 🇧🇶 rules and rеgulations of 🤚🏼 thе association, whiсh 🇨🇮 аre typìçally ‍ outlined iñ thе community's bylaws 👚 òr covenаnts, conditions, ând restrictions (CC&Rs). So, 🇽🇰 ìñ the stòry you 🪀 mentionеd, it's 🇹🇷 possìble thаt thе 🇹🇷 HOÃ was actiñg wіthіn íts legal àuthority bу enforçïñg rülès 🇺🇲 or régùlàtions 🇹🇷 that were outlined іn the cоmmunîtу's bуlaws or ‍‍ CC&Rs. Hоwêvër, it's also possïblé that thé HÓÀ may havê ovеrstеpped its bоunds ör acted outsìde òf its lêgál aúthority. Withoùt mоrë information, 👨🏾‍🦽‍➡ ‍‍ іt's difficult tо say for sure.""]",ai,char,all-mpnet-base-v2
