text,label,attacked_text
"Fan v Fan: Manchester City-Tottenham Hotspur This weekend Manchester City entertain Spurs, and with last seasons seven-goal FA Cup epic between the two teams still fresh in the memory, entertain could be the operative word.",1,"Fañ v Fañ: Mançhester Çity-Tottenham Hòtspur This weekènd Mañchester Çity entertaiñ Spürs, and with làst seasóns sevén-goal FÁ Cùp epíc between the twõ teâms stíll frésh in the mêmory, eñtertain cõuld be the operätive wõrd."
"Paris Tourists Search for Key to 'Da Vinci Code' (Reuters) Reuters - A funny thing happened on the way to the\Mona Lisa. Visitors to the Louvre museum in Paris, home of the\world's most famous painting, started quizzing tour guides\about Dan Brown's best-selling novel ""The Da Vinci Code.""",0,"París Toúrists Searçh for Këy to 'Dá Viñci Còde' (Rëuters) Rêuters - A fuñny thíng happeñed on the wãy to the\Moná Lísa. Visitörs to the Louvrê museüm in Pàris, homé of thë\world's most famoûs paintiñg, startèd quizziñg toúr guidès\about Dañ Browñ's best-selliñg növel ""Thé Dà Vincí Çode."""
"Net firms: Don't tax VoIP The Spanish-American War is over and a ""temporary"" tax created to pay for it should not be extended to Internet phone calls, industry groups tell the IRS",3,"Ñet fírms: Don't tãx VoÎP The Spanish-Ãmérican Wâr is over and a ""temporáry"" tãx creatèd to páy for it should not be ëxtended to Interñet phoñe càlls, iñdustry gröups téll the ÌRS"
"Dependent species risk extinction The global extinction crisis is worse than thought, because thousands of  quot;affiliated quot; species also at risk do not figure in calculations.",3,"Dèpendent speciës rîsk extinctiôñ The glôbal èxtinçtion crisìs is worsé than thöught, because thousãnds of quot;àffilìated quót; spêcies âlso at rîsk do not fígure in calçulatioñs."
EDS Is Charter Member of Siebel BPO Alliance (NewsFactor) NewsFactor - Siebel Systems (Nasdaq: SEBL) has named EDS as the charter partner in Siebels' new business process outsourcing (BPO) global strategic-alliance program. The agreement expands the relationship between EDS and Siebel to provide a set of high-value managed products and service offerings targeted at the BPO and customer relationship management (CRM) marketplaces.,3,ËDS Is Çharter Mêmber of Siebêl BPÓ Alliancê (NewsFactör) NewsFactór - Siëbel Systêms (Nasdãq: SËBL) has naméd ÊDS as the chãrter partñer in Sièbels' ñew bûsiness pröcess outsourcìñg (BPÓ) globäl stratègic-allïañce prógram. The agreément èxpands the relatioñship between ÈDS and Sîebel to provìde a sêt of hìgh-value managëd prodûcts and sérvice offerîngs targéted at the BPÓ and çustomer relatioñship mañagement (ÇRM) markëtplaces.
"Campbell 9 Pct. Profit  #39;Hmmm Hmmm Good #39; Campbell Soup Co. (CPB.N: Quote, Profile, Research) on Monday posted a better-than-expected 9 percent rise in profit, sending shares to a near three-year high, as heavy promotions and product improvements spurred soup sales.",2,"Campbêll 9 Pçt. Pröfit #39;Hmmm Hmmm Goôd #39; Cämpbell Soùp Cõ. (CPB.Ñ: Qùote, Profïle, Resëarch) on Moñday põsted a better-than-expëctéd 9 perçent risè in profït, sendîng sharês to a neär thrèe-year hïgh, as hëavy promôtions and produçt improvéments spùrred sôup sàles."
"Forgoing stiff upper lip, Charles jousts with critics LONDON: In an unusual departure from the tradition of regal silence and the stiff upper lip, Prince Charles fought back Monday against accusations by a government minister who called his views on education  quot;old fashioned quot; and  quot;out of time.",0,"Forgoìng stìff uppèr líp, Charlès jóusts with critícs LONDÒN: In an unusuãl départure from the trádition of regál silencè and the stíff uppèr lïp, Priñce Charlés fóught bâck Mönday against áçcusations by a govêrnment mïnister who çalled his viêws on edûcatión quot;òld fâshioned quöt; and qùot;out of tìme."
"Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesday said said profit for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",2,"Prófit Plûnges at Intèrnatioñal Gamê Têch Ínternâtional Gãme Techñology, the wòrld #39;s biggêst makër of slôt machínes, Tuêsday saîd sãid prófit for its látest quàrter fëll 50 perçent from a yeär âgo duê to a çharge for eärly rèdemption of débt and a táx adjústment."
"Salvaging Genesis Despite a seemingly calamitous crash to Earth last month by the Genesis spacecraft, large portions of the solar wind samples it had gathered in space appear to be salvageable, NASA scientists announced on Sept.",3,"Salváging Genesìs Despité a sèemingly càlamitous cräsh to Ëarth lãst mönth by the Genèsis späcecraft, lãrge portiôns of the sòlar wiñd samplés it had gatheréd in späce appeâr to be salvageãble, NÁSA scientìsts annoûncéd on Sépt."
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,2,Chàvez rejëcts ÇD as oppõsition Vénezuela #39;s Président Hûgo Chavèz has anñöunced that he will no longèr rêcognize the Demoçratic Coördinâtion or ÇD as the opposítion cóàlition.
