text,label,attacked_text
it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,1,it confіrms fіncher 's stаtus as a fіlm mаker who аrtfully bеnds tеchnical knоw-how to the servicе of рsychologicаl іnsight .
too much of it feels unfocused and underdeveloped . ,0,too muсh of it fеels unfocusеd and underdeveloрed .
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,0,a grеat ensemblе сast cа n't lіft this heаrtfelt enterprisе out of the familіar .
"prurient playthings aside , there 's little to love about this english trifle . ",0,"рrurient plаythings asidе , there 's littlе to lovе about this englіsh trіfle ."
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",1,"it mоves quiсkly , аdroitly , and wіthout fuss ; it does n't givе you tіme to reflеct on the inanіty -- and the cоld wаr datednеss -- of its premisе ."
"it proves quite compelling as an intense , brooding character study . ",1,"it provеs quіte compеlling as an іntense , broodіng charаcter studу ."
bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,1,bogdanoviсh tantаlizes by offerіng a рeep shоw into the lіves of the erа 's сreme dе lа celluloіd .
looks and feels like a project better suited for the small screen . ,0,loоks and feеls likе a prоject bettеr suitеd for the smаll screеn .
verbinski implements every hack-artist trick to give us the ooky-spookies . ,0,verbіnski іmplements everу haсk-artist trіck to gіve us the ooky-sрookiеs .
"this is a good script , good dialogue , funny even for adults . ",1,"this is a goоd scriрt , gоod dialоgue , funnу еven for аdults ."
a painfully funny ode to bad behavior . ,1,a paіnfully funnу odе to bаd behаvior .
"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1,"there is a fabriс of comрlex іdeas here , and feelіngs that profoundlу deepеn them ."
the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,0,the overаll effеct is lеss likе a сhildren 's mоvie than a recruіtment fіlm for futurе hollywоod sеllouts .
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",1,"as the twо leаds , lаthan and dіggs are сharming and have chеmistry both as frіends and lovеrs ."
"the title not only describes its main characters , but the lazy people behind the camera as well . ",0,"the tіtle not only describеs its maіn charactеrs , but the lazу peoplе behіnd the сamera as wеll ."
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,1,zhаng ... has donе an аmazing jоb of gettіng reаlistic performаnces from his mаinly nonprofessiоnаl cаst .
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ",1,"not only is underсover brоther as funnу , if not more so , than both аustin рowers fіlms , but it 's аlso оne of the smartеr , savvіer sрoofs to сome alоng in some timе ."
"beautifully observed , miraculously unsentimental comedy-drama . ",1,"beаutifully оbserved , mirаculously unsеntimental сomedy-drama ."
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes ",0,"the lаst 20 mіnutes are somewhаt redеeming , but most of the mоvie is the same teenagе americаn roаd-trip drеk we 'vе sеen before - only this tіme you have to reаd the fаrt jokеs"
if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,1,if you dіg on davіd mаmet 's mіnd trіcks ... rеnt this movіe and еnjoy !
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,"for all its impressivе craftsmanshiр , and desрite an overbearіng sеries of thіrd-act сrescendos , lіly chоu-chou nеver rеally buіlds up a hеad of emotionаl stеam ."
"yes , dull . ",0,"yеs , dull ."
"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . ",0,"shakу clоse-ups of turkeу-on-rolls , stubblу сhins , livеr spоts , rеd nоses and the fіlmmakers nеw bobbеd do drаw eаsy chuсkles but lеad nowherе ."
the second coming of harry potter is a film far superior to its predecessor . ,1,the secоnd comіng of hаrry рotter is a fіlm fаr suрerior to its prеdecessor .
"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,"if you 'rе hаrd up for raunchу collegе humоr , this is your tiсket rіght here ."
"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ",0,"nonsensіcal , dull `` cyber-hоrror '' flіck is a grіm , hollоw exercіse in flаt sсares and bаd аcting ."
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,"a delеctable and іntriguing thrillеr fillеd with surprіses , rеad my liрs is an оriginal ."
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,"thаnks to scоtt 's сharismatic rogеr and eisеnberg 's sweеt neрhew , rogеr dodgеr is оne of the most cоmpelling variаtions on in the cоmpany of mеn ."
there 's no emotional pulse to solaris . ,0,there 's no emotionаl рulse to solarіs .
"a fast , funny , highly enjoyable movie . ",1,"a fаst , funnу , hіghly enjoyablе movіe ."
"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",0,"too restrаined to be a frеak shоw , too merсenary and оbvious to be сerebral , too dull and prеtentious to be engаging ... the іsle defiеs an еasy сategorіzation ."
an unwise amalgam of broadcast news and vibes . ,0,an unwіse amаlgam of broadсast nеws and vіbes .
"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ",1,"a pleаsant еnough romanсe with intelleсtual underрinnings , the kіnd of movіe that entertаins еven as it turns mаddeningly prediсtable ."
"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ",0,"it 's not оriginal , and , rоbbed of the elemеnt of surрrise , it does n't have any hugе lаughs in its storу of іrresponsible сops who lovе to plаy рranks ."
it 's hard to imagine alan arkin being better than he is in this performance . ,1,it 's hаrd to imagіne аlan arkіn being bеtter than he is in this pеrformance .
"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ",1,"dazzlеs with its fullу-written сharacters , its detеrmined stylіshness ( which alwаys relatеs to chаracters and storу ) and jоhnny dankwоrth 's bеst soundtrаck in уears ."
"fun , flip and terribly hip bit of cinematic entertainment . ",1,"fun , flіp and terriblу hiр bіt of сinematic еntertainment ."
the movie fails to live up to the sum of its parts . ,0,the movіe fаils to livе up to the sum of its рarts .
one of the more intelligent children 's movies to hit theaters this year . ,1,onе of the more intelligеnt childrеn 's mоvies to hіt thеaters this yeаr .
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,0,сorpus collоsum -- while undеniably interеsting -- wоre out its welcomе wеll before the еnd crеdits rollеd about 45 mіnutes in .
the performances take the movie to a higher level . ,1,the perfоrmances tаke the moviе to a hіgher lеvel .
"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . ",0,"onе of those picturеs whоse prоmising , if rаther prеcious , premisе is undеrcut by amаteurish executiоn ."
