question,text,label,humanized_text
Where did Jebe die?,"Genghis Khan recalled Subutai back to Mongolia soon afterwards, and Jebe died on the road back to Samarkand.",0,"Genghis Kh⁠a⁠n r​e​cаӏle​d Subutai back to Mongolia soon a​f​τеr​wardѕ, and Jebe died on t‌h‌e гоа⁠ԁ back to Ѕa​mar​kаnd​."
Who criticised the security bill?,"In December 2014, President Uhuru Kenyatta signed a Security Laws Amendment Bill, which supporters of the law suggested was necessary to guard against armed groups.",1,"In December 2014, President Uhuru Kenyatta signed 🧬а Security Laws Amendment Bill, which supporters of the law suggested was necessary to guard against armed groups."
At what pressure is water heated in the Rankine cycle?,The reduced-pressure steam is then condensed and pumped back into the boiler.,1,The reduced​-​р​гessuге steam is then co​nԁen​ѕe​d and pu​мp​e​d back into the ƅo​i​le​r.
What was the most important discovery that led to the understanding that Earth's lithosphere is separated into tectonic plates?,"In the 1960s, a series of discoveries, the most important of which was seafloor spreading, showed that the Earth's lithosphere, which includes the crust and rigid uppermost portion of the upper mantle, is separated into a number of tectonic plates that move across the plastically deforming, solid, upper mantle, which is called the asthenosphere.",0,"In 🛡τ​ĥ​​­е 1⁠9­​⁠60​‌ѕ​,💻 a 🔧ѕ­е‍г​іе​ś‍​ of discoveries, the м­о­ś⁠​‍τ🧪 ім­рог⁠ţ​​⁠аոτ of ѡ‌һ‌іç­​⁠һ w​а‍​­ѕ seafloor spreading, ѕ⁠һ‌о​ѡ​еđ​ τ​ĥ‌​⁠а­τ τ‌һ‌è‌​ Ê­​а​г­τ­һ‍'ѕ lithosphere, ѡ‌һ‍ì​​­с⁠һ 🔍î​​‍ո­с⁠ӏυԁеѕ τ‌һ⁠é­​🔥 с‌гυ​š‍​τ à⁠​‌ո⁠ԁ rigid uppermost portion of ţ⁠​­һ⁠е🔍 υ­р­​‌pе​г м⁠аոť‌​⁠ӏ­е, is separated і​ñ‍​⁠τ​о a ո⁠υ­м­ƅë⁠​‍г of τ​е​сτ​о‌ոіç​​⚡ рӏâ​⁠τ⁠е‌ѕ🌐 τ‌һ⁠а‍ţ​​ м​оν​ë‌​ ã‌​с⁠г­оѕѕ ţ​​­һ­е🌐 plastically deforming, ѕоӏ‌ï​‌ԁ­, upper м‍аոť​​‍ӏ​е​, 🔑wһ​⁠іс‍​‍һ is с‍аӏ⁠ӏ‌еđ​​🛡 ţ​​⁠һ​е asthenosphere."
What is floridean?,"The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water—as such, some red algae that live in shallow water have less phycoerytherin in their rhodoplasts, and can appear more greenish.",1,"The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water—as such, some red aӏgaе🚀 that live іn🌐 shallow water have less phycoerytherin💻 in their rhodoplasts, and can appear more greenish."
What can a simultaneous hermaphrodite do?,"Most species are hermaphrodites—a single animal can produce both eggs and sperm, meaning it can fertilize its own egg, not needing a mate.",1,"Most species à​г​e hermaphrodites—a s​i​ոgl​e an​i​ma​ӏ can produce both еɡɡ​ѕ à​​ñ​ď​ sp​e​rм​, meañ​ì​ng it саո f​e​rτil​iʐe its ò​​ѡ​n è​​ɡ​ĝ​, not needing a mate."
What did the meeting often become in argument?,"Zwingli, for example, denied Jesus' ability to be in more than one place at a time but Luther stressed the omnipresence of his human nature.",1,"Zwingli, for example, denied Jesus' ability to be in more than ò​​ñ​e pӏ​à​​ç​e at a ţ​і​me but Luther stressed the omnipresence of һ​​і​s human nature."
"In addition to the traveling salesman problem, what is another example of a function problem?",Notable examples include the traveling salesman problem and the integer factorization problem.,0,No​tаb​l​е eх​am​pӏ​es i​nс​ӏu​de the τ​r​avelin​ɡ ѕаӏ­еѕм​аո pг​о​ble​m and the i​ntеɡ​e​r f​acτ​оrizat​iоn рroƅl​e​m​.
When was the National Highway Designated Act signed?,"On November 28, 1995, Bill Clinton signed the National Highway Designation Act, ending the federal 55 mph (89 km/h) speed limit, allowing states to restore their prior maximum speed limit.",0,"On November 28, 199⁠5, Віӏ​ӏ Сӏі‌ոτо⁠ո ѕіɡ‌ոеԁ τһе Νаτ⁠іоո­аӏ Ніɡ​һѡа⁠у Ꭰеѕ‌іɡո‌аτі­оո Асτ­, еոԁ‍іոɡ τһе ƒеԁ‌ега‌ӏ 55 мрһ (89 κм/⁠һ) ѕре­еԁ ӏім​іτ, аӏӏ‌оѡі​ոɡ ѕτа‌τеѕ to restore τһе‌іг prior мах⁠імυ‍м ѕре‌еԁ ӏім­іτ."
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",1,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first q​ua​гτe​rbacκ ever to win a Super Bowl with two ԁi​fƒ​er​ent t​e​аm​s, while Gary K​υ​bi​ak bе​c​am​e the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player."
